Mass-to-charge,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5,Spectra 6
689.6091,510,0,561,868,562,0
689.635,256,51,408,918,511,0
689.6608,409,255,306,1278,460,0
689.6866,255,358,408,1533,204,0
689.7124,409,307,511,1276,102,0
689.7383,255,51,511,612,0,0
689.7641,153,0,613,357,0,0
689.7899,408,0,460,409,51,102
689.8157,664,0,561,460,204,153
689.8416,562,153,511,307,409,153
689.8674,307,561,460,511,561,256
689.8932,307,665,153,409,358,204
689.9191,204,613,153,51,358,102
689.9449,256,562,204,51,204,0
689.9707,460,562,255,51,306,102
689.9966,613,306,408,51,358,51
690.0224,562,255,408,204,256,0
690.0482,612,255,408,255,102,0
690.074,357,153,357,357,358,0
690.0999,255,255,459,358,511,0
690.1257,817,204,766,357,510,0
690.1515,1073,255,869,306,255,0
690.1774,970,204,768,306,153,0
690.2032,357,51,255,562,357,0
690.2291,357,51,51,971,716,0
690.2549,408,204,0,1022,665,0
690.2807,663,307,0,971,459,0
690.3066,612,255,0,511,409,0
690.3324,613,153,51,358,613,153
690.3582,664,204,255,204,306,409
690.3841,970,102,357,0,153,613
690.4099,920,0,357,51,51,357
690.4358,562,51,409,306,204,102
690.4616,765,0,204,459,358,0
690.4874,1688,51,0,613,714,0
690.5133,1891,102,0,665,665,0
690.5391,1533,204,51,920,562,0
690.565,1176,102,204,408,153,51
690.5908,869,256,408,204,408,306
690.6166,920,358,153,357,408,613
690.6425,715,357,0,614,306,714
690.6683,613,153,0,612,408,255
690.6942,664,307,204,306,612,51
690.72,306,153,563,306,255,0
690.7459,153,102,819,459,357,0
690.7717,102,102,818,663,306,102
690.7975,51,204,817,818,459,204
690.8234,153,307,511,818,460,255
690.8492,511,306,204,715,664,255
690.8751,766,204,153,357,767,204
690.9009,869,460,51,153,870,153
690.9268,512,510,0,357,307,0
690.9526,664,357,153,562,255,0
690.9785,921,51,306,357,204,0
691.0043,1277,102,663,357,204,0
691.0302,1022,102,562,970,306,0
691.056,510,51,664,1841,663,0
691.0819,255,0,919,1841,663,0
691.1077,459,0,920,1279,562,51
691.1336,255,0,561,255,255,51
691.1594,307,153,460,357,460,102
691.1853,460,306,562,511,409,256
691.2111,408,459,459,561,255,307
691.237,510,358,255,408,204,153
691.2629,561,409,460,409,204,0
691.2887,408,51,563,511,204,0
691.3146,102,51,306,664,255,0
691.3404,0,102,256,357,408,0
691.3663,255,255,511,460,153,0
691.3921,408,102,408,715,0,0
691.418,306,51,460,766,307,0
691.4438,102,153,715,613,664,0
691.4697,51,255,460,510,920,0
691.4956,306,409,153,612,869,0
691.5214,766,562,153,818,562,51
691.5473,920,408,255,765,102,102
691.5731,1075,306,204,818,51,102
691.599,1074,255,102,664,204,0
691.6249,920,51,0,153,460,0
691.6507,562,0,51,204,664,51
691.6766,512,0,51,869,715,153
691.7025,920,0,306,870,408,153
691.7283,1020,0,562,972,459,102
691.7542,612,0,561,971,664,0
691.78,459,51,715,1584,869,0
691.8059,613,255,819,1125,511,0
691.8318,868,715,920,663,204,0
691.8576,1021,664,459,357,204,0
691.8835,1430,510,153,306,204,0
691.9094,1072,561,255,460,306,0
691.9352,1482,818,357,920,357,0
691.9611,1124,664,408,920,357,0
691.987,1123,511,816,510,153,0
692.0128,612,255,869,459,153,0
692.0387,612,0,715,306,408,0
692.0646,409,102,153,510,561,0
692.0904,613,307,204,561,511,0
692.1163,971,511,204,255,255,0
692.1422,1482,868,204,102,255,0
692.1681,1380,716,153,204,409,0
692.1939,1278,256,357,357,306,0
692.2198,920,0,510,460,51,0
692.2457,767,51,459,358,102,0
692.2716,255,0,663,255,357,0
692.2974,102,51,664,102,460,0
692.3233,51,153,510,0,408,0
692.3492,562,306,102,102,306,0
692.3751,766,256,51,51,204,0
692.4009,715,204,51,153,562,0
692.4268,153,153,102,563,818,0
692.4527,306,204,256,971,972,0
692.4786,612,102,204,614,818,0
692.5044,919,204,153,357,613,0
692.5303,919,51,204,561,358,51
692.5562,716,0,153,869,255,153
692.5821,460,0,153,612,204,102
692.6079,408,0,204,612,357,153
692.6338,408,51,255,971,562,307
692.6597,357,204,153,1124,665,409
692.6856,204,204,51,918,409,153
692.7115,153,51,0,919,204,102
692.7374,51,0,0,613,153,306
692.7632,102,51,0,307,357,511
692.7891,153,204,0,204,408,204
692.815,255,358,0,459,562,51
692.8409,204,716,0,255,460,0
692.8668,408,767,0,102,256,51
692.8927,613,306,153,102,0,102
692.9185,868,51,459,51,51,51
692.9444,920,51,357,51,102,0
692.9703,971,102,408,459,153,0
692.9962,971,51,306,869,102,0
693.0221,1226,51,358,1022,256,0
693.048,920,51,102,664,614,0
693.0739,409,102,153,562,818,0
693.0998,102,0,306,510,358,0
693.1256,357,204,153,664,153,0
693.1515,561,256,0,306,255,0
693.1774,510,153,204,256,358,102
693.2033,357,0,256,204,153,153
693.2292,766,0,204,0,664,102
693.2551,869,0,51,0,1226,51
693.281,562,0,153,0,1380,0
693.3069,204,256,153,51,1072,0
693.3328,255,563,102,255,970,51
693.3587,255,512,102,665,817,102
693.3846,255,307,204,920,613,102
693.4105,153,204,102,510,153,0
693.4364,102,460,153,357,409,0
693.4622,0,613,204,664,459,0
693.4881,102,510,204,766,716,0
693.514,102,255,51,408,1176,0
693.5399,51,51,51,510,1738,0
693.5658,153,0,153,714,1329,0
693.5917,255,102,459,1073,817,0
693.6176,306,102,511,715,460,0
693.6435,562,51,460,562,255,0
693.6694,511,0,102,562,51,0
693.6953,204,102,51,460,51,0
693.7212,51,102,51,102,153,0
693.7471,153,51,51,153,307,51
693.773,306,102,51,561,358,204
693.7989,357,307,0,1175,255,204
693.8248,306,307,51,715,255,51
693.8507,255,153,408,255,613,0
693.8766,306,0,715,255,971,0
693.9025,460,102,715,561,1022,0
693.9284,408,204,868,459,357,0
693.9544,562,204,971,204,204,0
693.9803,1022,153,766,51,153,0
694.0062,1074,204,306,51,204,0
694.0321,818,0,51,102,204,0
694.058,868,0,102,204,0,0
694.0839,1022,0,255,102,0,0
694.1098,868,51,459,51,51,0
694.1357,511,51,510,153,0,0
694.1616,511,102,459,102,255,0
694.1875,204,204,102,102,561,0
694.2134,510,204,0,204,562,0
694.2393,357,51,0,153,102,0
694.2652,153,102,51,204,102,0
694.2912,204,204,51,408,102,0
694.3171,153,306,306,255,102,0
694.343,459,255,306,255,153,0
694.3689,972,51,255,409,306,0
694.3948,869,102,358,204,562,0
694.4207,613,459,512,153,868,0
694.4466,460,459,460,204,919,0
694.4726,460,459,204,204,868,0
694.4985,972,459,357,358,715,0
694.5244,920,408,409,613,459,0
694.5503,408,51,153,307,357,51
694.5762,51,51,51,306,561,153
694.6021,102,51,204,562,765,204
694.628,408,0,357,971,1125,153
694.654,255,51,204,818,868,0
694.6799,153,306,357,562,613,0
694.7058,255,408,613,102,459,0
694.7317,510,204,614,0,766,102
694.7576,664,102,358,51,1023,255
694.7836,870,102,306,255,920,306
694.8095,971,102,357,255,460,204
694.8354,921,0,102,306,204,51
694.8613,409,51,0,102,204,0
694.8872,204,102,0,102,255,0
694.9132,255,0,204,102,255,0
694.9391,358,0,613,204,459,0
694.965,613,0,562,357,817,0
694.9909,1379,0,561,612,767,0
695.0169,1431,0,561,409,306,0
695.0428,1124,0,511,409,51,0
695.0687,306,0,357,153,102,0
695.0946,51,102,204,204,102,0
695.1206,0,204,204,307,51,0
695.1465,255,307,255,511,51,0
695.1724,613,102,102,357,255,0
695.1984,971,51,51,714,818,0
695.2243,614,153,153,358,1431,0
695.2502,460,204,204,255,1738,0
695.2761,255,102,102,255,920,0
695.3021,204,102,0,511,358,0
695.328,357,102,0,561,153,0
695.3539,920,51,102,153,0,0
695.3799,1021,153,102,102,51,0
695.4058,1073,153,0,204,102,102
695.4317,613,51,0,460,51,204
695.4577,613,0,204,1175,0,204
695.4836,612,0,255,1021,0,0
695.5095,561,0,306,1226,0,0
695.5355,255,0,408,1534,51,0
695.5614,562,0,817,1636,51,0
695.5873,1073,102,663,920,408,0
695.6133,1124,307,357,459,716,0
695.6392,357,358,51,204,562,0
695.6651,357,204,51,204,306,0
695.6911,817,0,51,460,204,0
695.717,1125,0,204,767,255,51
695.7429,767,51,409,408,817,51
695.7689,153,153,511,306,1637,0
695.7948,102,153,408,306,1279,0
695.8208,306,102,357,255,972,0
695.8467,357,204,255,357,306,0
695.8726,511,255,153,664,306,0
695.8986,204,153,51,459,511,0
695.9245,204,0,0,153,819,0
695.9505,153,0,153,306,665,0
695.9764,102,51,204,510,153,0
696.0024,357,51,357,204,102,0
696.0283,663,0,409,153,51,0
696.0542,510,0,255,562,102,0
696.0802,204,0,51,1176,102,0
696.1061,204,0,102,1227,0,0
696.1321,510,102,153,817,51,0
696.158,612,153,306,716,51,0
696.184,562,255,665,817,153,0
696.2099,255,255,460,1021,204,0
696.2359,204,204,204,716,204,0
696.2618,204,153,51,562,255,0
696.2878,102,307,153,306,204,0
696.3137,51,460,460,255,0,0
696.3397,0,613,512,306,204,51
696.3656,459,511,459,51,256,153
696.3916,919,153,357,255,358,102
